official_json_row_1based,group,fig,control,shift,condition,channel,direction,status_in,data1_in,status_out,data1_out,decoded_actions,implementation,finding
263,PAD,P4,PAD 4,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5B,9n,5B,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
264,PAD,P4,PAD 4,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5B,9n,5B,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
265,PAD,P4,PAD 4,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,63,9n,63,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
266,PAD,P4,PAD 4,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,63,9n,63,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
267,PAD,P4,PAD 4,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6B,9n,6B,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
268,PAD,P4,PAD 4,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6B,9n,6B,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
269,PAD,P4,PAD 4,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,73,9n,73,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
270,PAD,P4,PAD 4,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,73,9n,73,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
271,PAD,P4,PAD 4,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7B,9n,7B,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
272,PAD,P4,PAD 4,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7B,9n,7B,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
273,PAD,P5,PAD 5,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,04,9n,04,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
274,PAD,P5,PAD 5,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,04,9n,04,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
275,PAD,P5,PAD 5,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0C,9n,0C,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
276,PAD,P5,PAD 5,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0C,9n,0C,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
277,PAD,P5,PAD 5,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,14,9n,14,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
278,PAD,P5,PAD 5,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,14,9n,14,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
279,PAD,P5,PAD 5,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1C,9n,1C,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
280,PAD,P5,PAD 5,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1C,9n,1C,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
281,PAD,P5,PAD 5,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,24,9n,24,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
282,PAD,P5,PAD 5,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,24,9n,24,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
283,PAD,P5,PAD 5,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2C,9n,2C,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
284,PAD,P5,PAD 5,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2C,9n,2C,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
285,PAD,P5,PAD 5,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,34,9n,34,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
286,PAD,P5,PAD 5,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,34,9n,34,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
287,PAD,P5,PAD 5,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3C,9n,3C,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
288,PAD,P5,PAD 5,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3C,9n,3C,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
289,PAD,P5,PAD 5,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,44,9n,44,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
290,PAD,P5,PAD 5,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,44,9n,44,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
291,PAD,P5,PAD 5,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4C,9n,4C,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
292,PAD,P5,PAD 5,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4C,9n,4C,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
293,PAD,P5,PAD 5,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,54,9n,54,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
294,PAD,P5,PAD 5,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,54,9n,54,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
295,PAD,P5,PAD 5,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5C,9n,5C,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
296,PAD,P5,PAD 5,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5C,9n,5C,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
297,PAD,P5,PAD 5,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,64,9n,64,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
298,PAD,P5,PAD 5,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,64,9n,64,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
299,PAD,P5,PAD 5,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6C,9n,6C,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
300,PAD,P5,PAD 5,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6C,9n,6C,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
301,PAD,P5,PAD 5,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,74,9n,74,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
302,PAD,P5,PAD 5,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,74,9n,74,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
303,PAD,P5,PAD 5,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7C,9n,7C,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
304,PAD,P5,PAD 5,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7C,9n,7C,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
305,PAD,P6,PAD 6,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,05,9n,05,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
306,PAD,P6,PAD 6,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,05,9n,05,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
307,PAD,P6,PAD 6,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0D,9n,0D,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
308,PAD,P6,PAD 6,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0D,9n,0D,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
309,PAD,P6,PAD 6,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,15,9n,15,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
310,PAD,P6,PAD 6,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,15,9n,15,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
311,PAD,P6,PAD 6,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1D,9n,1D,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
312,PAD,P6,PAD 6,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1D,9n,1D,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
313,PAD,P6,PAD 6,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,25,9n,25,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
314,PAD,P6,PAD 6,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,25,9n,25,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
315,PAD,P6,PAD 6,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2D,9n,2D,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
316,PAD,P6,PAD 6,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2D,9n,2D,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
317,PAD,P6,PAD 6,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,35,9n,35,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
318,PAD,P6,PAD 6,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,35,9n,35,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
319,PAD,P6,PAD 6,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3D,9n,3D,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
320,PAD,P6,PAD 6,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3D,9n,3D,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
321,PAD,P6,PAD 6,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,45,9n,45,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
322,PAD,P6,PAD 6,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,45,9n,45,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
323,PAD,P6,PAD 6,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4D,9n,4D,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
324,PAD,P6,PAD 6,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4D,9n,4D,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
325,PAD,P6,PAD 6,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,55,9n,55,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
326,PAD,P6,PAD 6,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,55,9n,55,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
327,PAD,P6,PAD 6,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5D,9n,5D,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
328,PAD,P6,PAD 6,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5D,9n,5D,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
329,PAD,P6,PAD 6,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,65,9n,65,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
330,PAD,P6,PAD 6,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,65,9n,65,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
331,PAD,P6,PAD 6,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6D,9n,6D,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
332,PAD,P6,PAD 6,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6D,9n,6D,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
333,PAD,P6,PAD 6,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,75,9n,75,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
334,PAD,P6,PAD 6,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,75,9n,75,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
335,PAD,P6,PAD 6,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7D,9n,7D,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
336,PAD,P6,PAD 6,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7D,9n,7D,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
337,PAD,P7,PAD 7,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,06,9n,06,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
338,PAD,P7,PAD 7,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,06,9n,06,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
339,PAD,P7,PAD 7,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0E,9n,0E,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
340,PAD,P7,PAD 7,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0E,9n,0E,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
341,PAD,P7,PAD 7,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,16,9n,16,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
342,PAD,P7,PAD 7,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,16,9n,16,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
343,PAD,P7,PAD 7,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1E,9n,1E,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
344,PAD,P7,PAD 7,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1E,9n,1E,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
345,PAD,P7,PAD 7,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,26,9n,26,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
346,PAD,P7,PAD 7,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,26,9n,26,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
347,PAD,P7,PAD 7,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2E,9n,2E,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
348,PAD,P7,PAD 7,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2E,9n,2E,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
349,PAD,P7,PAD 7,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,36,9n,36,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
350,PAD,P7,PAD 7,+SHIFT,SAMPLER mode (PAGE 1),9/11/13/15,IN/OUT,9p,36,9n,36,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
351,PAD,P7,PAD 7,,SAMPLER mode (PAGE 2),8/10/12/14,IN/OUT,9p,3E,9n,3E,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
352,PAD,P7,PAD 7,+SHIFT,SAMPLER mode (PAGE 2),9/11/13/15,IN/OUT,9p,3E,9n,3E,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
353,PAD,P7,PAD 7,,KEYBOARD mode (PAGE 1),8/10/12/14,IN/OUT,9p,46,9n,46,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
354,PAD,P7,PAD 7,+SHIFT,KEYBOARD mode (PAGE 1),9/11/13/15,IN/OUT,9p,46,9n,46,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
355,PAD,P7,PAD 7,,KEYBOARD mode (PAGE 2),8/10/12/14,IN/OUT,9p,4E,9n,4E,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
356,PAD,P7,PAD 7,+SHIFT,KEYBOARD mode (PAGE 2),9/11/13/15,IN/OUT,9p,4E,9n,4E,keyboard,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
357,PAD,P7,PAD 7,,PAD FX mode 2 (PAGE 1),8/10/12/14,IN/OUT,9p,56,9n,56,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
358,PAD,P7,PAD 7,+SHIFT,PAD FX mode 2 (PAGE 1),9/11/13/15,IN/OUT,9p,56,9n,56,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
359,PAD,P7,PAD 7,,PAD FX mode 2 (PAGE 2),8/10/12/14,IN/OUT,9p,5E,9n,5E,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
360,PAD,P7,PAD 7,+SHIFT,PAD FX mode 2 (PAGE 2),9/11/13/15,IN/OUT,9p,5E,9n,5E,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
361,PAD,P7,PAD 7,,BEAT LOOP mode (PAGE 1),8/10/12/14,IN/OUT,9p,66,9n,66,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
362,PAD,P7,PAD 7,+SHIFT,BEAT LOOP mode (PAGE 1),9/11/13/15,IN/OUT,9p,66,9n,66,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
363,PAD,P7,PAD 7,,BEAT LOOP mode (PAGE 2),8/10/12/14,IN/OUT,9p,6E,9n,6E,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
364,PAD,P7,PAD 7,+SHIFT,BEAT LOOP mode (PAGE 2),9/11/13/15,IN/OUT,9p,6E,9n,6E,beatLoopPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
365,PAD,P7,PAD 7,,KEY SHIFT mode (PAGE 1),8/10/12/14,IN/OUT,9p,76,9n,76,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
366,PAD,P7,PAD 7,+SHIFT,KEY SHIFT mode (PAGE 1),9/11/13/15,IN/OUT,9p,76,9n,76,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
367,PAD,P7,PAD 7,,KEY SHIFT mode (PAGE 2),8/10/12/14,IN/OUT,9p,7E,9n,7E,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
368,PAD,P7,PAD 7,+SHIFT,KEY SHIFT mode (PAGE 2),9/11/13/15,IN/OUT,9p,7E,9n,7E,keyShift,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
369,PAD,P8,PAD 8,,HOT CUE mode (PAGE 1),8/10/12/14,IN/OUT,9p,07,9n,07,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
370,PAD,P8,PAD 8,+SHIFT,HOT CUE mode (PAGE 1),9/11/13/15,IN/OUT,9p,07,9n,07,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
371,PAD,P8,PAD 8,,HOT CUE mode (PAGE 2),8/10/12/14,IN/OUT,9p,0F,9n,0F,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
372,PAD,P8,PAD 8,+SHIFT,HOT CUE mode (PAGE 2),9/11/13/15,IN/OUT,9p,0F,9n,0F,hotcue,部分実装,slot 0–7のみ設定/呼出/SHIFT削除。slot 8–15は未対応通知。
373,PAD,P8,PAD 8,,PAD FX mode 1 (PAGE 1),8/10/12/14,IN/OUT,9p,17,9n,17,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
374,PAD,P8,PAD 8,+SHIFT,PAD FX mode 1 (PAGE 1),9/11/13/15,IN/OUT,9p,17,9n,17,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
375,PAD,P8,PAD 8,,PAD FX mode 1 (PAGE 2),8/10/12/14,IN/OUT,9p,1F,9n,1F,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
376,PAD,P8,PAD 8,+SHIFT,PAD FX mode 1 (PAGE 2),9/11/13/15,IN/OUT,9p,1F,9n,1F,padFx,部分実装,PAD FX 1/2のモード識別が同じpadFxに潰れる。slot%8で両PAGE同一。SHIFT別動作なし。1デッキ1FX共有。
377,PAD,P8,PAD 8,,BEAT JUMP mode (PAGE 1),8/10/12/14,IN/OUT,9p,27,9n,27,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
378,PAD,P8,PAD 8,+SHIFT,BEAT JUMP mode (PAGE 1),9/11/13/15,IN/OUT,9p,27,9n,27,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
379,PAD,P8,PAD 8,,BEAT JUMP mode (PAGE 2),8/10/12/14,IN/OUT,9p,2F,9n,2F,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
380,PAD,P8,PAD 8,+SHIFT,BEAT JUMP mode (PAGE 2),9/11/13/15,IN/OUT,9p,2F,9n,2F,beatJumpPad,部分実装,slot%8でPAGE 2もPAGE 1と同じ。SHIFT別動作なし。
381,PAD,P8,PAD 8,,SAMPLER mode (PAGE 1),8/10/12/14,IN/OUT,9p,37,9n,37,sampler,未実装通知のみ,受信するがruntimeは未対応エラーを表示してreturn。サンプラーUIもstub。
